country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,operator,operator_name,system_type,system_website,technology
Spain,Barcelona,4668,Barcelona de Serveis Municipals,,,PBSC,Bicing,Dock-based,https://bicing.barcelona/,PBSC
Spain,Barcelona,0,,,,Donkey Republic,Donkey Republic,Dock-based,https://www.donkey.bike/cities/bike-rental-barcelona/,
